nombre_show,tipo_show,precio,duracion,local,nota_atrapalo,numero_opiniones,tipo_local,valoracion_google,numero_reseñas_google,coordenadas
Ilusión. Javier Del Mar,show,10.0,60.0,Teatro de las Aguas,9.1,20.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
¡Es lo que hay! un show de Carlos Suárez e Iria Parada,show,11.0,60.0,Beer Station,9.6,29.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Coria Castillo con Nací princesa porque zorras sobraban,show,14.0,75.0,Beer Station,9.5,414.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Luis Álvaro - El espectáculo,show,12.0,75.0,Beer Station,9.0,186.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Impro-Monologos,show,8.0,60.0,Clandestino Café Teatro,9.6,20.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Mangos y Papayas - Gran Vía,show,8.5,75.0,Cervecería Valverde Comedy Club,9.8,81.0,club de comedia,4.0,1085.0,"(40.4207044, -3.7021596)"
Carles Cuevas y Fer Bleda. Maric*n y Tontic*.,show,12.0,70.0,El Golfo Comedy Club,9.6,31.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Mierda Fresca Open - Stand-Up Comedy presentado por Richard Salamanca,open_mic,8.0,80.0,Beer Station,9.4,49.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Poco se habla de Sexo - Madrid,show,8.0,70.0,El Sombrerero Comedy Club,9.9,21.0,club de comedia,4.5,4.0,"(40.4317969, -3.7008063)"
"No soy yo, eres tú David Carrascosa",show,10.0,65.0,Collage Burlesque,9.9,170.0,bar,4.6,56.0,"(40.42912525, -3.698373844811268)"
Open Open Mic. El micro abierto más abierto.,open_mic,3.0,70.0,El Golfo Comedy Club,9.3,79.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Diego Arjona - Me veo en Wallapop,show,12.0,60.0,Sala Houdini,10.0,23.0,espacios variados,4.8,2869.0,"(40.4461751, -3.6751527)"
Vermut Rojo Open Mic,open_mic,3.0,50.0,Tropicana Beach Club Madrid,9.4,78.0,bar,4.1,290.0,"(40.4143906, -3.7065497)"
Albert Boira.- Que nos pille viviendo,show,12.0,70.0,El Golfo Comedy Club,9.5,28.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Fango - Rober Bodegas,show,18.0,60.0,Pequeño Teatro Gran Vía de Madrid,9.5,355.0,teatro,4.5,1975.0,"(40.4683282, -3.8707172)"
"Borderline, Nico Lozano",show,10.0,60.0,Teatro de las Aguas,9.1,50.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Mangos y Papayas: Javi Bueno & Iván Perlaza,show,9.0,70.0,MadBeerHall,9.8,37.0,,,,
"Malasañero para principantes, de Manu Kas",show,10.0,50.0,Teatro de las Aguas,8.8,151.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Super Duper. Mario Velasco,show,10.0,60.0,Teatro de las Aguas,9.4,30.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Open Magic,open_mic,8.0,90.0,La Cripta Mágica,9.6,47.0,teatro,4.8,1033.0,"(40.40175815, -3.6967764379116157)"
Sparks- El show de humor negro - Silvia Sparks,show,12.0,70.0,Beer Station,9.4,62.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Paula Púa.- Traca. Un monólogo de una hija única.,show,11.0,70.0,El Golfo Comedy Club,9.5,19.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
No Disparen al Cómico - Manu Chacón,show,10.0,70.0,Abonavida,9.8,201.0,bar,4.3,1274.0,"(40.4191439, -3.7065685)"
"Femininity, un show de Patri Muñoz",show,11.0,70.0,El Golfo Comedy Club,9.2,37.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Diego Daño. Viviendo para Instagram,show,11.0,70.0,El Golfo Comedy Club,9.1,295.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Juan Moreno presenta ¡Embustero!,show,10.0,70.0,MadBeerHall,9.4,43.0,,,,
Kalderas - Stand Up Comedy,show,11.0,60.0,Beer Station,9.3,60.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Alberto Sierra. De profesión: gafas.,show,11.0,70.0,El Golfo Comedy Club,9.4,15.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Ruta 66 Open Mic,open_mic,3.0,75.0,Tropicana Beach Club Madrid,9.4,33.0,bar,4.1,290.0,"(40.4143906, -3.7065497)"
Sinacio presenta Toca Reír,show,12.0,90.0,Beer Station,9.0,12.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Vero Berenguer y Sandra U.- Enfermizas,show,11.0,70.0,El Golfo Comedy Club,9.2,16.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
La Factoría de la Comedia - Openmic,open_mic,6.0,75.0,El Sombrerero Comedy Club,9.4,120.0,club de comedia,4.5,4.0,"(40.4317969, -3.7008063)"
"Comedia Sin Miedo Open Mic , monologo de standup comedy",open_mic,2.5,70.0,Estación Malasaña,9.6,64.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
Lgtb Comedy Jam,show,5.0,90.0,Intruso Bar,9.4,155.0,bar,4.3,1999.0,"(40.4230161, -3.7001672)"
Carmen Romero y Bianca Kovacs - Odio a la gente PODCAST,podcast,8.0,70.0,Beer Station,9.3,23.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Malhablado - Un show de Raúl Fervé,show,10.0,70.0,Beer Station,9.2,29.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
"Nacho García: Estoy mayor, en Madrid",show,10.0,80.0,Cine Palacio de la Prensa,9.1,1138.0,cine,4.1,2503.0,"(40.4200282, -3.7054691)"
"Open Mic, La Trinchera",open_mic,5.0,75.0,Tropicana Beach Club Madrid,9.3,14.0,bar,4.1,290.0,"(40.4143906, -3.7065497)"
Los 30 son los nuevos ...  ¡Vete a la mierda! - Jorge Santos,show,12.0,80.0,Teatro Bellas Artes,9.5,214.0,teatro,4.2,2870.0,"(40.4181727, -3.6963263)"
Los 30 son los nuevos ... ¡Vete a la mierda! - Jorge Santos,show,10.0,75.0,Sala Galileo Galilei,9.5,203.0,espacios variados,4.3,4057.0,"(40.4385349, -3.7098303)"
Silvia Sparks. El show de humor negro,show,11.0,70.0,El Golfo Comedy Club,9.2,51.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Par de notas - Álvaro Seko y Fernando 'El Pelao',show,15.0,90.0,Teatro Chocita del Loro - Gran Vía,9.1,56.0,teatro,4.5,4273.0,"(40.4683282, -3.8707172)"
Eva Cabezas. A las calles,show,12.0,70.0,El Golfo Comedy Club,9.0,13.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Los Monólogos de Clandestino Café-Teatro Gran vía,cuenta_local,8.0,60.0,Clandestino Café Teatro,8.4,71.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
